iter	MultiClass
444	0.8509705691
445	0.8509283599
446	0.8508297519
447	0.8506661229
448	0.8505975611
449	0.8504941449
450	0.8502772021
451	0.8502153665
452	0.8500068674
453	0.8499241766
454	0.8498435115
455	0.8496688344
456	0.8494940549
457	0.8493543867
458	0.8492339073
459	0.8491423613
460	0.8489977794
461	0.8488755882
462	0.8488042116
463	0.8487206275
464	0.8486031423
465	0.8484940264
466	0.8484080055
467	0.8482968825
468	0.8481777846
469	0.848074938
470	0.8479035963
471	0.8478528773
472	0.8477091621
473	0.8475314424
474	0.8474622625
475	0.847357635
476	0.8472932241
477	0.8471777623
478	0.8470747257
479	0.8470202688
480	0.846896857
481	0.8468140257
482	0.8467225977
483	0.8465944461
484	0.846532266
485	0.8464212616
486	0.846330555
487	0.8462713048
488	0.8461670781
489	0.8461067909
490	0.8460075485
491	0.8459118693
492	0.845841639
493	0.8457513794
494	0.845693796
495	0.8456459707
496	0.8455593137
497	0.8454048608
498	0.8452683324
499	0.8451435486
500	0.8450372972
501	0.8448865187
502	0.8447713484
503	0.844638267
504	0.8444851152
505	0.8444042031
506	0.8443307913
507	0.8442227009
508	0.8441334299
509	0.8440502506
510	0.844010406
511	0.8438963846
512	0.8437714361
513	0.8436706818
514	0.8435623159
515	0.8434684466
516	0.8434082027
517	0.8433171549
518	0.8432373589
519	0.8431397848
520	0.8430137673
521	0.8429499207
522	0.8428788873
523	0.8427661834
524	0.8426328085
525	0.8425593079
526	0.8424414456
527	0.8422696942
528	0.8422031537
529	0.8420653035
530	0.8419788919
531	0.8418980379
532	0.8417663622
533	0.8416789158
534	0.8416094369
535	0.8415808639
536	0.8415450611
537	0.8414814655
538	0.8414195616
539	0.8413516061
540	0.8412677714
541	0.841162075
542	0.8410346611
543	0.8408679338
544	0.8407242967
545	0.8406339073
546	0.8405955729
547	0.8405220363
548	0.840392067
549	0.8403157799
550	0.8402138855
551	0.8401329016
552	0.8400561195
553	0.839987185
554	0.8398636861
555	0.8397753641
556	0.8397001736
557	0.8395922231
558	0.8394894077
559	0.8393625702
560	0.8392702294
561	0.8391662456
562	0.8390888812
563	0.8390198066
564	0.8389581883
565	0.838907818
566	0.8388156517
567	0.8387446219
568	0.8386207494
569	0.838557025
570	0.838501724
571	0.8384068326
572	0.8383525089
573	0.8382686514
574	0.838201227
575	0.8381069557
576	0.8380471311
577	0.837995187
578	0.8379142957
579	0.837853049
580	0.8377448236
581	0.837625845
582	0.8375703332
583	0.837443117
584	0.8373945937
585	0.8373193058
586	0.8372197284
587	0.8371531274
588	0.8370695941
589	0.8369900494
590	0.83686602
591	0.8368080925
592	0.8366863839
593	0.8365511069
594	0.8364663704
595	0.8364159475
596	0.8362881471
597	0.8362573049
598	0.8362025758
599	0.8360904148
600	0.8360058847
601	0.8359119925
602	0.835843901
603	0.8357693756
604	0.8357306496
605	0.8356223063
606	0.8354706779
607	0.8353937597
608	0.8353077603
609	0.835201664
610	0.8350407132
611	0.83486721
612	0.8347010878
613	0.8345981787
614	0.8344341772
615	0.8344031882
616	0.8342895291
617	0.8341615852
618	0.8340703418
619	0.8340305535
620	0.833936545
621	0.8338802082
622	0.8337330063
623	0.8336555488
624	0.8335986195
625	0.8335137568
626	0.8334435867
627	0.8333580747
628	0.8333115204
629	0.8331901333
630	0.8331451377
631	0.8330408648
632	0.832922492
633	0.8329025504
634	0.8327466789
635	0.8326414805
636	0.8325163862
637	0.8324172728
638	0.8323164351
639	0.8321581461
640	0.8321134341
641	0.8320316464
642	0.8319586384
643	0.8318893002
644	0.831806772
645	0.8317419472
646	0.8316651056
647	0.8315878164
648	0.8315415181
649	0.8313955492
650	0.8313396465
651	0.8312730865
652	0.8312013486
653	0.831122096
654	0.8310067294
655	0.8309574463
656	0.830839124
657	0.8307151026
658	0.8306018309
659	0.8305435612
660	0.8305033191
661	0.8304298455
662	0.8303252911
663	0.8302321401
664	0.8301599236
665	0.8300868564
666	0.829955312
667	0.8298547329
668	0.8297881791
669	0.8297380873
670	0.8295974783
671	0.8294384003
672	0.8293708053
673	0.8293060376
674	0.8292184568
675	0.8291578912
676	0.8290459386
677	0.8289098051
678	0.8288587838
679	0.8287675351
680	0.828681732
681	0.8285847561
682	0.8285567371
683	0.8284688845
684	0.8283672952
685	0.8283002288
686	0.8282438331
687	0.8281738355
688	0.8281094293
689	0.82804701
690	0.827933402
691	0.8278912796
692	0.8278482303
693	0.8277130132
694	0.827634554
695	0.8275773195
696	0.8275043007
697	0.8273687465
698	0.8272215668
699	0.8271585014
700	0.827036974
701	0.8269773751
702	0.8268943925
703	0.8268430959
704	0.8268182431
705	0.8267130286
706	0.8266459194
707	0.8265835229
708	0.8265375968
709	0.8264289686
710	0.8263704043
711	0.8263423483
712	0.8262131385
713	0.8261507498
714	0.8260236023
715	0.8259214399
716	0.8258546808
717	0.8257319641
718	0.8256218157
719	0.8255561673
720	0.825477636
721	0.8254140801
722	0.8253141822
723	0.825228483
724	0.8251680082
725	0.8251029558
726	0.8250600125
727	0.8249218969
728	0.8248354711
729	0.8247352154
730	0.8246662081
731	0.824627178
732	0.8245579618
733	0.8244353948
734	0.8243823848
735	0.8243241701
736	0.824275542
737	0.8241933239
738	0.8241549683
739	0.8240523205
740	0.8239390487
741	0.8238549688
742	0.8237593638
743	0.8236473965
744	0.8235093385
745	0.823438807
746	0.8233479692
747	0.8232377674
748	0.8230993187
749	0.8230464668
750	0.8229640068
751	0.8228752077
752	0.8228294756
753	0.8227471671
754	0.8226713233
755	0.8225872097
756	0.8225257973
757	0.8224515357
758	0.8223836714
759	0.8223195008
760	0.8222274435
761	0.8221705095
762	0.822098897
763	0.8220198373
764	0.821895691
765	0.8218155616
766	0.8217894417
767	0.8217287069
768	0.8216618716
769	0.8216144106
770	0.8215441889
771	0.821517238
772	0.8213647613
773	0.8212833405
774	0.8212214118
775	0.8210906756
776	0.8210192258
777	0.8209503809
778	0.8208504245
779	0.8207879223
780	0.8207128454
781	0.8206453266
782	0.8205750341
783	0.8204744391
784	0.8204023504
785	0.82034067
786	0.8202611638
787	0.8201526492
788	0.8200950257
789	0.8200539662
790	0.8199894065
791	0.8199454177
792	0.8198338197
793	0.8197485398
794	0.8197124426
795	0.8196628896
796	0.8195475914
797	0.8194498806
798	0.8193747024
799	0.8192965197
800	0.8191658632
801	0.819090494
802	0.8189975701
803	0.8189225318
804	0.8188066248
805	0.8187411735
806	0.8187020091
807	0.8186432211
808	0.8185747573
809	0.8185395014
810	0.8184632611
811	0.8183978173
812	0.8183218143
813	0.8182227672
814	0.8181417193
815	0.8180450298
816	0.8179935582
817	0.8178981843
818	0.8177740919
819	0.8176318819
820	0.8175997668
821	0.8175275404
822	0.8174892381
823	0.8174029319
824	0.8173296515
825	0.8172121443
826	0.8171520526
827	0.817065982
828	0.816991352
829	0.8169233074
830	0.8168167944
831	0.8167184533
832	0.8166272965
833	0.8165309763
834	0.8164666507
835	0.8164330668
836	0.8163470087
837	0.8162391414
838	0.8161102594
839	0.8160522262
840	0.8160104287
841	0.8159562675
842	0.8158795838
843	0.8157793892
844	0.8157038071
845	0.8156569345
846	0.8155698752
847	0.8154534004
848	0.8153629188
849	0.8152624929
850	0.8152104466
851	0.8150878636
852	0.8150141843
853	0.8149679875
854	0.8148720737
855	0.814808885
856	0.814788652
857	0.8147108109
858	0.8146404093
859	0.8144769266
860	0.8143875172
861	0.8143253715
862	0.8142158076
863	0.8141874933
864	0.8141076787
865	0.8140670958
866	0.8140085509
867	0.813912658
868	0.813834108
869	0.8137777853
870	0.8137054417
871	0.8136479414
872	0.8135833752
873	0.8134760637
874	0.8134022211
875	0.8133232253
876	0.8132613816
877	0.8131824862
878	0.8131173584
879	0.8130290989
880	0.8129479037
881	0.8129092514
882	0.8128449311
883	0.8127308843
884	0.8126575932
885	0.8125801721
886	0.8125147573
887	0.8123936378
888	0.8123016013
889	0.8122121845
890	0.8121285131
891	0.8120862407
892	0.8119611574
893	0.8118682413
894	0.8118076245
895	0.8117925478
896	0.8116958838
897	0.8116143871
898	0.8115281525
899	0.8114870885
900	0.8113810078
901	0.8113153804
902	0.8112360333
903	0.8112146171
904	0.8111060879
905	0.8110514385
906	0.8109633669
907	0.8108947569
908	0.8108523663
909	0.8107362955
910	0.8106434001
911	0.8105174772
912	0.8103573121
913	0.8103054953
914	0.8102353447
915	0.8101249912
916	0.8100544405
917	0.8099385777
918	0.8098237334
919	0.8097955706
920	0.8097340626
921	0.8096674323
922	0.8095835562
923	0.8095106981
924	0.8094684741
925	0.809383818
926	0.8093127235
927	0.8092746733
928	0.8092461235
929	0.8092191601
930	0.8091268193
931	0.8090407553
932	0.8089973064
933	0.8089061801
934	0.8088394657
935	0.8087453041
936	0.8086641922
937	0.8086094141
938	0.8085906365
939	0.8084743286
940	0.8084022672
941	0.8083636205
942	0.8083272262
943	0.808270709
944	0.8081869923
945	0.8081239838
946	0.8080449819
947	0.8080052698
948	0.807912389
949	0.8078792117
950	0.8077909264
951	0.8077131604
952	0.8075786517
953	0.8074845502
954	0.8074385896
955	0.8073684709
956	0.8072227661
957	0.8071293038
958	0.8069951603
959	0.8069541509
960	0.8067857767
961	0.8067192607
962	0.806639551
963	0.8065799499
964	0.8065054245
965	0.8064212038
966	0.8063455076
967	0.8062201122
968	0.8060490628
969	0.8059534993
970	0.8059264529
971	0.8058084261
972	0.8057364049
973	0.8056137499
974	0.8055585305
975	0.80553814
976	0.8054911645
977	0.8054087496
978	0.8053437499
979	0.8052552395
980	0.8051594188
981	0.8051124746
982	0.8050255643
983	0.8049813292
984	0.8048681698
985	0.8047828926
986	0.8046900487
987	0.8045815467
988	0.8045137476
989	0.8044261011
990	0.8043322566
991	0.8042650701
992	0.8041755557
993	0.8041079837
994	0.8040671634
995	0.8039855152
996	0.8038832842
997	0.8038210608
998	0.8037507048
999	0.8037286247
