iter	Passed	Remaining
409	4011	5772
410	4022	5764
411	4032	5755
412	4042	5745
413	4052	5736
414	4064	5729
415	4076	5723
416	4086	5712
417	4096	5703
418	4106	5694
419	4116	5685
420	4126	5675
421	4135	5664
422	4146	5656
423	4156	5647
424	4166	5636
425	4175	5625
426	4183	5613
427	4191	5601
428	4198	5588
429	4206	5575
430	4214	5563
431	4222	5551
432	4229	5538
433	4236	5525
434	4244	5512
435	4251	5499
436	4259	5487
437	4266	5474
438	4274	5462
439	4281	5449
440	4288	5436
441	4295	5422
442	4303	5410
443	4310	5397
444	4317	5384
445	4325	5372
446	4332	5360
447	4340	5348
448	4349	5337
449	4358	5327
450	4369	5318
451	4378	5308
452	4391	5302
453	4401	5293
454	4410	5282
455	4417	5270
456	4425	5258
457	4433	5246
458	4440	5233
459	4447	5221
460	4455	5209
461	4462	5196
462	4469	5184
463	4477	5172
464	4485	5161
465	4495	5151
466	4503	5139
467	4511	5128
468	4518	5115
469	4525	5103
470	4532	5090
471	4542	5081
472	4552	5071
473	4563	5063
474	4574	5055
475	4585	5047
476	4595	5038
477	4604	5028
478	4614	5019
479	4624	5009
480	4634	5001
481	4644	4991
482	4653	4981
483	4665	4974
484	4675	4964
485	4685	4955
486	4695	4946
487	4705	4936
488	4716	4928
489	4726	4919
490	4737	4911
491	4747	4901
492	4756	4891
493	4767	4883
494	4778	4875
495	4790	4867
496	4800	4858
497	4810	4849
498	4821	4840
499	4832	4832
500	4844	4824
501	4853	4815
502	4861	4803
503	4869	4792
504	4877	4781
505	4885	4769
506	4893	4758
507	4901	4747
508	4911	4737
509	4919	4726
510	4929	4716
511	4939	4708
512	4948	4698
513	4957	4687
514	4965	4676
515	4973	4664
516	4981	4654
517	4990	4643
518	4999	4633
519	5008	4622
520	5018	4614
521	5027	4604
522	5035	4592
523	5043	4581
524	5051	4570
525	5060	4560
526	5071	4551
527	5082	4543
528	5093	4534
529	5102	4525
530	5111	4514
531	5122	4506
532	5130	4495
533	5139	4485
534	5151	4477
535	5160	4467
536	5169	4457
537	5177	4446
538	5186	4435
539	5194	4425
540	5203	4415
541	5210	4403
542	5219	4392
543	5229	4383
544	5239	4374
545	5248	4363
546	5256	4353
547	5265	4343
548	5275	4333
549	5284	4323
550	5297	4316
551	5308	4308
552	5318	4298
553	5329	4290
554	5337	4280
555	5348	4270
556	5357	4261
557	5368	4252
558	5376	4241
559	5385	4231
560	5394	4221
561	5402	4210
562	5410	4199
563	5418	4188
564	5427	4178
565	5436	4168
566	5445	4158
567	5455	4149
568	5466	4140
569	5475	4130
570	5486	4121
571	5495	4112
572	5504	4102
573	5514	4092
574	5525	4083
575	5536	4075
576	5547	4066
577	5557	4057
578	5568	4049
579	5578	4039
580	5588	4030
581	5598	4020
582	5608	4011
583	5617	4001
584	5627	3991
585	5635	3981
586	5644	3971
587	5654	3962
588	5664	3952
589	5673	3942
590	5682	3932
591	5695	3925
592	5706	3916
593	5716	3907
594	5725	3897
595	5737	3888
596	5749	3881
597	5757	3870
598	5765	3859
599	5777	3851
600	5787	3842
601	5795	3831
602	5803	3820
603	5810	3809
604	5817	3798
605	5824	3787
606	5834	3777
607	5845	3768
608	5855	3759
609	5865	3749
610	5874	3739
611	5882	3729
612	5889	3718
613	5897	3707
614	5906	3697
615	5914	3686
616	5923	3677
617	5933	3667
618	5942	3657
619	5953	3648
620	5964	3639
621	5975	3631
622	5986	3622
623	5997	3613
624	6008	3604
625	6018	3595
626	6028	3586
627	6036	3575
628	6044	3565
629	6053	3555
630	6061	3544
631	6070	3534
632	6080	3525
633	6090	3515
634	6099	3505
635	6109	3496
636	6120	3487
637	6131	3478
638	6143	3470
639	6156	3462
640	6166	3453
641	6177	3444
642	6187	3435
643	6196	3425
644	6206	3415
645	6216	3406
646	6225	3396
647	6237	3388
648	6247	3378
649	6258	3370
650	6269	3361
651	6279	3351
652	6290	3342
653	6301	3334
654	6313	3325
655	6324	3316
656	6336	3307
657	6347	3299
658	6358	3290
659	6368	3280
660	6379	3271
661	6388	3261
662	6398	3252
663	6409	3243
664	6419	3233
665	6428	3224
666	6435	3213
667	6445	3203
668	6454	3193
669	6462	3182
670	6469	3172
671	6477	3161
672	6484	3150
673	6491	3139
674	6499	3129
675	6506	3118
676	6514	3108
677	6522	3097
678	6530	3087
679	6539	3077
680	6548	3067
681	6557	3057
682	6566	3047
683	6575	3037
684	6585	3028
685	6596	3019
686	6606	3009
687	6616	3000
688	6629	2992
689	6639	2982
690	6649	2973
691	6660	2964
692	6669	2954
693	6680	2945
694	6691	2936
695	6700	2926
696	6707	2916
697	6715	2905
698	6723	2895
699	6731	2884
700	6739	2874
701	6748	2864
702	6755	2854
703	6763	2843
704	6771	2833
705	6781	2824
706	6792	2814
707	6803	2806
708	6812	2795
709	6821	2786
710	6832	2777
711	6842	2767
712	6853	2758
713	6864	2749
714	6875	2740
715	6884	2730
716	6894	2721
717	6902	2711
718	6909	2700
719	6918	2690
720	6926	2680
721	6935	2670
722	6945	2661
723	6954	2651
724	6964	2641
725	6973	2631
726	6983	2622
727	6994	2613
728	7005	2604
729	7017	2595
730	7027	2586
731	7039	2577
732	7050	2568
733	7062	2559
734	7073	2550
735	7082	2540
736	7089	2529
737	7097	2519
738	7104	2509
739	7115	2499
740	7124	2490
741	7133	2480
742	7141	2470
743	7151	2460
744	7162	2451
745	7172	2442
746	7182	2432
747	7193	2423
748	7201	2413
749	7210	2403
750	7218	2393
751	7226	2383
752	7233	2372
753	7241	2362
754	7248	2352
755	7256	2342
756	7263	2331
757	7271	2321
758	7280	2311
759	7289	2302
760	7300	2292
761	7310	2283
762	7321	2274
763	7331	2264
764	7342	2255
765	7352	2246
766	7361	2236
767	7371	2226
768	7381	2217
769	7390	2207
770	7398	2197
771	7405	2186
772	7412	2176
773	7420	2166
774	7428	2156
775	7436	2146
